Quaternion: q0=0.8772910237312317, q1=0.030590329319238663, q2=-0.010307333432137966, q3=0.47887206077575684
Quaternion: q0=0.8775463104248047, q1=0.030575178563594818, q2=-0.010335078462958336, q3=0.4784044027328491
Quaternion: q0=0.8777977228164673, q1=0.030574901029467583, q2=-0.010358450002968311, q3=0.4779425263404846
Quaternion: q0=0.8780001997947693, q1=0.030583854764699936, q2=-0.010357458144426346, q3=0.4775698482990265
Quaternion: q0=0.87820965051651, q1=0.030578598380088806, q2=-0.010366037487983704, q3=0.47718489170074463
Quaternion: q0=0.8783860206604004, q1=0.030578989535570145, q2=-0.010369601659476757, q3=0.47686004638671875
Quaternion: q0=0.8785659670829773, q1=0.03056933730840683, q2=-0.010387950576841831, q3=0.4765285551548004
Quaternion: q0=0.8787536025047302, q1=0.03056570701301098, q2=-0.010384605266153812, q3=0.4761827886104584
Quaternion: q0=0.878958523273468, q1=0.030578268691897392, q2=-0.010384400375187397, q3=0.4758036732673645
Quaternion: q0=0.8791585564613342, q1=0.030554933473467827, q2=-0.01041527558118105, q3=0.4754348397254944
Quaternion: q0=0.8793358206748962, q1=0.030571291223168373, q2=-0.010420161299407482, q3=0.4751056134700775
Quaternion: q0=0.8795111179351807, q1=0.030562425032258034, q2=-0.010430236347019672, q3=0.4747813045978546
Quaternion: q0=0.8797030448913574, q1=0.03053162433207035, q2=-0.010442864149808884, q3=0.4744274616241455
Quaternion: q0=0.8798897862434387, q1=0.030534686520695686, q2=-0.010438092052936554, q3=0.474080890417099
Quaternion: q0=0.880100667476654, q1=0.03052833490073681, q2=-0.01044947188347578, q3=0.4736894369125366
Quaternion: q0=0.880327045917511, q1=0.030523402616381645, q2=-0.010475856252014637, q3=0.47326838970184326
Quaternion: q0=0.8805692195892334, q1=0.030528871342539787, q2=-0.010491620749235153, q3=0.47281673550605774
Quaternion: q0=0.880830705165863, q1=0.030524712055921555, q2=-0.010507818311452866, q3=0.4723294973373413
Quaternion: q0=0.881088137626648, q1=0.03054400347173214, q2=-0.010528801940381527, q3=0.47184738516807556
Quaternion: q0=0.8813238739967346, q1=0.030534133315086365, q2=-0.010568611323833466, q3=0.47140681743621826
Quaternion: q0=0.8815338015556335, q1=0.030535468831658363, q2=-0.010570114478468895, q3=0.4710139036178589
Quaternion: q0=0.8817325234413147, q1=0.03054720349609852, q2=-0.010595937259495258, q3=0.47064054012298584
Quaternion: q0=0.8819266557693481, q1=0.030549224466085434, q2=-0.010611538775265217, q3=0.4702760577201843
Quaternion: q0=0.8820911645889282, q1=0.030541984364390373, q2=-0.010650145821273327, q3=0.46996694803237915
Quaternion: q0=0.882240355014801, q1=0.03054121881723404, q2=-0.010635972023010254, q3=0.469687283039093
Quaternion: q0=0.8823907971382141, q1=0.030545350164175034, q2=-0.010632558725774288, q3=0.46940430998802185
Quaternion: q0=0.8825510740280151, q1=0.03054148145020008, q2=-0.010650111362338066, q3=0.4691028594970703
Quaternion: q0=0.882732093334198, q1=0.030547788366675377, q2=-0.010644051246345043, q3=0.46876174211502075
Quaternion: q0=0.8829271197319031, q1=0.030542751774191856, q2=-0.01066016498953104, q3=0.4683941900730133
Quaternion: q0=0.8831165432929993, q1=0.030529722571372986, q2=-0.010670256800949574, q3=0.4680376648902893
Quaternion: q0=0.8833211660385132, q1=0.030524369329214096, q2=-0.010693236254155636, q3=0.46765127778053284
Quaternion: q0=0.8835470080375671, q1=0.030518200248479843, q2=-0.010703636333346367, q3=0.46722468733787537
Quaternion: q0=0.8837733268737793, q1=0.030506886541843414, q2=-0.010719984769821167, q3=0.4667965769767761
Quaternion: q0=0.8839889764785767, q1=0.030516939237713814, q2=-0.010743100196123123, q3=0.46638715267181396
Quaternion: q0=0.8842085003852844, q1=0.03051898069679737, q2=-0.01075639296323061, q3=0.4659702777862549
Quaternion: q0=0.8844243884086609, q1=0.03051687777042389, q2=-0.010762223973870277, q3=0.4655603766441345
Quaternion: q0=0.8845804929733276, q1=0.030512390658259392, q2=-0.010752326808869839, q3=0.4652642011642456
Quaternion: q0=0.8846971988677979, q1=0.0305185429751873, q2=-0.010750318877398968, q3=0.4650419056415558
Quaternion: q0=0.8848012089729309, q1=0.030516069382429123, q2=-0.010722563602030277, q3=0.4648449718952179
Quaternion: q0=0.8848923444747925, q1=0.03051586262881756, q2=-0.010741488076746464, q3=0.464670866727829
Quaternion: q0=0.8850099444389343, q1=0.03050403483211994, q2=-0.010734115727245808, q3=0.4644477367401123
Quaternion: q0=0.8851408958435059, q1=0.0304863378405571, q2=-0.010735400021076202, q3=0.4641992151737213
Quaternion: q0=0.8852333426475525, q1=0.030468527227640152, q2=-0.010760882869362831, q3=0.46402353048324585
Quaternion: q0=0.8853186368942261, q1=0.030484290793538094, q2=-0.010770433582365513, q3=0.46385952830314636
Quaternion: q0=0.8854248523712158, q1=0.03049776703119278, q2=-0.010723813436925411, q3=0.4636569619178772
Quaternion: q0=0.8855768442153931, q1=0.03047030419111252, q2=-0.010745002888143063, q3=0.4633678197860718
